purchase_date,Day_name,Month_name,day_of_month,day_classification,time_buckets,revenue_per_day,Number_of_sales,number_of_products,number_of_stores,store_location,product_category,product_detail
2023-01-01,Sun,Jan,1,Weekend,01.Morning,4.25,1,1,1,Lower Manhattan,Coffee,Cappuccino Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,10,2,1,1,Lower Manhattan,Tea,Morning Sunrise Chai Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3,1,1,1,Lower Manhattan,Coffee,Our Old Time Diner Blend Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,12,2,1,1,Lower Manhattan,Coffee,Espresso shot
2023-01-01,Sun,Jan,1,Weekend,01.Morning,2.5,1,1,1,Lower Manhattan,Tea,Earl Grey Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,9,2,1,1,Hell's Kitchen,Tea,Serenity Green Tea Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,6.5,2,1,1,Hell's Kitchen,Bakery,Ginger Scone
2023-01-01,Sun,Jan,1,Weekend,01.Morning,9.3,2,1,1,Hell's Kitchen,Coffee,Jamaican Coffee River Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,7.5,2,1,1,Lower Manhattan,Coffee,Our Old Time Diner Blend Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,2,1,1,1,Hell's Kitchen,Coffee,Our Old Time Diner Blend Sm
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3.5,1,1,1,Lower Manhattan,Bakery,Ginger Biscotti
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3.1,1,1,1,Lower Manhattan,Coffee,Jamaican Coffee River Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3.25,1,1,1,Lower Manhattan,Bakery,Cranberry Scone
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3.75,1,1,1,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,7.5,1,1,1,Lower Manhattan,Coffee,Jamaican Coffee River Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,12,2,1,1,Hell's Kitchen,Tea,Earl Grey Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,9.5,1,1,1,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3.75,1,1,1,Hell's Kitchen,Bakery,Almond Croissant
2023-01-01,Sun,Jan,1,Weekend,01.Morning,2,1,1,1,Astoria,Coffee,Our Old Time Diner Blend Sm
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3.75,1,1,1,Astoria,Coffee,Latte
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3.5,1,1,1,Astoria,Bakery,Croissant
2023-01-01,Sun,Jan,1,Weekend,01.Morning,7,2,1,1,Lower Manhattan,Bakery,Croissant
2023-01-01,Sun,Jan,1,Weekend,01.Morning,8.5,1,1,1,Hell's Kitchen,Coffee,Latte Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,9,2,1,1,Astoria,Drinking Chocolate,Dark chocolate Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3,1,1,1,Astoria,Tea,Serenity Green Tea Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,7.5,2,1,1,Astoria,Bakery,Jumbo Savory Scone
2023-01-01,Sun,Jan,1,Weekend,01.Morning,2.5,1,1,1,Astoria,Tea,Serenity Green Tea Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3,1,1,1,Astoria,Tea,Lemon Grass Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,6,1,1,1,Astoria,Tea,Peppermint Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,11.25,2,1,1,Astoria,Drinking Chocolate,Sustainably Grown Organic Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,2.2,1,1,1,Hell's Kitchen,Coffee,Ethiopia Sm
2023-01-01,Sun,Jan,1,Weekend,01.Morning,6,1,1,1,Astoria,Tea,English Breakfast Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,7.5,1,1,1,Lower Manhattan,Coffee,Cappuccino
2023-01-01,Sun,Jan,1,Weekend,01.Morning,5,1,1,1,Hell's Kitchen,Tea,Peppermint Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,7,1,1,1,Astoria,Coffee,Ethiopia Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,4.5,1,1,1,Hell's Kitchen,Bakery,Scottish Cream Scone 
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3.25,1,1,1,Lower Manhattan,Bakery,Ginger Scone
2023-01-01,Sun,Jan,1,Weekend,01.Morning,5,1,1,1,Astoria,Tea,Traditional Blend Chai Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,4.4,1,1,1,Astoria,Coffee,Brazilian Sm
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3,1,1,1,Astoria,Coffee,Columbian Medium Roast Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,5,1,1,1,Hell's Kitchen,Tea,Earl Grey Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,6,1,1,1,Astoria,Coffee,Brazilian Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,7.5,1,1,1,Astoria,Coffee,Jamaican Coffee River Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,6,1,1,1,Astoria,Coffee,Espresso shot
2023-01-01,Sun,Jan,1,Weekend,01.Morning,2.5,1,1,1,Astoria,Tea,Earl Grey Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,2.5,1,1,1,Lower Manhattan,Coffee,Columbian Medium Roast Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,15,3,1,1,Astoria,Tea,English Breakfast Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,24.8,5,1,1,Astoria,Coffee,Jamaican Coffee River Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,7,2,1,1,Astoria,Bakery,Croissant
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,7.5,2,1,1,Hell's Kitchen,Coffee,Jamaican Coffee River Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,3,1,1,1,Hell's Kitchen,Tea,Serenity Green Tea Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,15,4,1,1,Astoria,Tea,Peppermint Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,10.5,2,1,1,Hell's Kitchen,Coffee,Brazilian Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,15,4,1,1,Astoria,Tea,Traditional Blend Chai Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,5,2,1,1,Lower Manhattan,Tea,Serenity Green Tea Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,12,4,1,1,Hell's Kitchen,Coffee,Our Old Time Diner Blend Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,12,3,1,1,Lower Manhattan,Tea,Lemon Grass Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,15.5,3,1,1,Hell's Kitchen,Coffee,Jamaican Coffee River Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,14,4,1,1,Astoria,Coffee,Columbian Medium Roast Sm
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,15,3,1,1,Hell's Kitchen,Tea,Earl Grey Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,15,2,1,1,Lower Manhattan,Coffee,Latte
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,26.4,6,1,1,Lower Manhattan,Coffee,Brazilian Sm
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,7.5,1,1,1,Astoria,Drinking Chocolate,Sustainably Grown Organic Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6,2,1,1,Astoria,Coffee,Our Old Time Diner Blend Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,17,2,1,1,Lower Manhattan,Coffee,Cappuccino Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,11.25,3,1,1,Hell's Kitchen,Coffee,Latte
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,20,4,1,1,Astoria,Tea,Morning Sunrise Chai Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,12.5,3,1,1,Astoria,Coffee,Columbian Medium Roast Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,8.8,2,1,1,Lower Manhattan,Coffee,Ethiopia Sm
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,15,3,1,1,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,21,4,1,1,Hell's Kitchen,Tea,English Breakfast Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6,2,1,1,Astoria,Tea,Traditional Blend Chai Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,5.1,2,1,1,Astoria,Tea,Spicy Eye Opener Chai Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,17.5,5,1,1,Astoria,Coffee,Our Old Time Diner Blend Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,7,2,1,1,Astoria,Coffee,Ethiopia Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,22.5,3,1,1,Astoria,Coffee,Latte
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,21,4,1,1,Hell's Kitchen,Coffee,Columbian Medium Roast Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,4.5,1,1,1,Astoria,Drinking Chocolate,Dark chocolate Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,9,2,1,1,Astoria,Coffee,Ethiopia Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,12,3,1,1,Hell's Kitchen,Tea,Traditional Blend Chai Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,14.25,2,1,1,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,9.75,3,1,1,Lower Manhattan,Bakery,Ginger Scone
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,5.1,2,1,1,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,10.5,3,1,1,Lower Manhattan,Bakery,Croissant
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,15,3,1,1,Hell's Kitchen,Coffee,Columbian Medium Roast Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,3,1,1,1,Hell's Kitchen,Coffee,Espresso shot
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,15.5,4,1,1,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,9,2,1,1,Hell's Kitchen,Tea,Peppermint Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,12,3,1,1,Hell's Kitchen,Coffee,Brazilian Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,9.5,2,1,1,Astoria,Drinking Chocolate,Sustainably Grown Organic Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6,2,1,1,Astoria,Tea,Serenity Green Tea Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,12,2,1,1,Lower Manhattan,Coffee,Columbian Medium Roast Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,4.5,1,1,1,Hell's Kitchen,Bakery,Scottish Cream Scone 
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,21,5,1,1,Astoria,Tea,Lemon Grass Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,4.4,1,1,1,Hell's Kitchen,Coffee,Brazilian Sm
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,3.25,1,1,1,Hell's Kitchen,Bakery,Ginger Scone
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,10,2,1,1,Hell's Kitchen,Tea,Lemon Grass Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,10,2,1,1,Hell's Kitchen,Tea,Morning Sunrise Chai Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6,3,1,1,Astoria,Coffee,Our Old Time Diner Blend Sm
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,31.5,6,1,1,Astoria,Drinking Chocolate,Dark chocolate Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,12,2,1,1,Lower Manhattan,Coffee,Our Old Time Diner Blend Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,11.25,2,1,1,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,2.55,1,1,1,Hell's Kitchen,Tea,Spicy Eye Opener Chai Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,12,2,1,1,Astoria,Tea,Morning Sunrise Chai Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,8,2,1,1,Hell's Kitchen,Tea,Morning Sunrise Chai Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,7,2,1,1,Hell's Kitchen,Bakery,Croissant
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,4.4,1,1,1,Hell's Kitchen,Coffee,Ethiopia Sm
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,10,3,1,1,Lower Manhattan,Coffee,Our Old Time Diner Blend Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,15,3,1,1,Astoria,Tea,Serenity Green Tea Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6,2,1,1,Lower Manhattan,Coffee,Ouro Brasileiro shot
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,11.25,2,1,1,Hell's Kitchen,Coffee,Cappuccino
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,3,1,1,1,Lower Manhattan,Tea,Earl Grey Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,25,5,1,1,Astoria,Tea,Lemon Grass Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,3.75,1,1,1,Lower Manhattan,Coffee,Jamaican Coffee River Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,2.5,1,1,1,Lower Manhattan,Tea,Traditional Blend Chai Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6.5,2,1,1,Astoria,Bakery,Hazelnut Biscotti
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6.2,2,1,1,Astoria,Tea,Spicy Eye Opener Chai Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,8,2,1,1,Hell's Kitchen,Coffee,Our Old Time Diner Blend Sm
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6,2,1,1,Lower Manhattan,Tea,Traditional Blend Chai Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6,1,1,1,Hell's Kitchen,Coffee,Ethiopia Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,3.5,1,1,1,Hell's Kitchen,Coffee,Ethiopia Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,7.5,3,1,1,Lower Manhattan,Tea,Lemon Grass Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,12.5,4,1,1,Hell's Kitchen,Tea,English Breakfast Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,7,1,1,1,Lower Manhattan,Coffee,Brazilian Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,7.5,2,1,1,Lower Manhattan,Bakery,Chocolate Croissant
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,4.9,2,1,1,Lower Manhattan,Coffee,Jamaican Coffee River Sm
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,25.5,3,1,1,Lower Manhattan,Coffee,Latte Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6.5,2,1,1,Lower Manhattan,Bakery,Hazelnut Biscotti
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,25.5,3,1,1,Astoria,Coffee,Cappuccino Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,7.5,2,1,1,Hell's Kitchen,Bakery,Chocolate Croissant
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,3.75,1,1,1,Astoria,Bakery,Jumbo Savory Scone
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,9.5,2,1,1,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6,1,1,1,Lower Manhattan,Tea,Peppermint Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6,1,1,1,Lower Manhattan,Tea,English Breakfast Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,4.5,1,1,1,Lower Manhattan,Bakery,Scottish Cream Scone 
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,8.5,1,1,1,Hell's Kitchen,Coffee,Latte Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6,1,1,1,Astoria,Coffee,Columbian Medium Roast Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,10,3,1,1,Lower Manhattan,Tea,Peppermint Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,4.9,1,1,1,Hell's Kitchen,Coffee,Jamaican Coffee River Sm
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,5,1,1,1,Astoria,Tea,Earl Grey Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6,1,1,1,Hell's Kitchen,Tea,Earl Grey Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,14.700000000000001,3,1,1,Astoria,Coffee,Jamaican Coffee River Sm
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,17,2,1,1,Astoria,Coffee,Latte Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,18.75,3,1,1,Lower Manhattan,Coffee,Cappuccino
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6,1,1,1,Astoria,Coffee,Brazilian Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,7.5,2,1,1,Lower Manhattan,Tea,Earl Grey Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,3.25,1,1,1,Astoria,Bakery,Cranberry Scone
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,8.8,2,1,1,Astoria,Coffee,Ethiopia Sm
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6,2,1,1,Lower Manhattan,Coffee,Columbian Medium Roast Sm
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,3.5,1,1,1,Lower Manhattan,Bakery,Ginger Biscotti
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,3.5,1,1,1,Astoria,Bakery,Chocolate Chip Biscotti
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,6,1,1,1,Lower Manhattan,Coffee,Espresso shot
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,2.5,1,1,1,Hell's Kitchen,Tea,Peppermint Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,15,3,1,1,Astoria,Coffee,Jamaican Coffee River Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,7,1,1,1,Lower Manhattan,Coffee,Ethiopia Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,4.25,1,1,1,Hell's Kitchen,Coffee,Cappuccino Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,2.5,1,1,1,Hell's Kitchen,Tea,Serenity Green Tea Rg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,3,1,1,1,Hell's Kitchen,Coffee,Ouro Brasileiro shot
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,2,1,1,1,Lower Manhattan,Coffee,Our Old Time Diner Blend Sm
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,7,1,1,1,Astoria,Coffee,Brazilian Lg
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,3.75,1,1,1,Astoria,Coffee,Cappuccino
2023-01-01,Sun,Jan,1,Weekend,02.Afternoon,3.5,1,1,1,Hell's Kitchen,Drinking Chocolate,Dark chocolate Rg
2023-01-01,Sun,Jan,1,Weekend,03. Evening,7.5,1,1,1,Lower Manhattan,Coffee,Jamaican Coffee River Lg
2023-01-01,Sun,Jan,1,Weekend,03. Evening,5,1,1,1,Hell's Kitchen,Tea,Earl Grey Rg
2023-01-01,Sun,Jan,1,Weekend,03. Evening,2.5,1,1,1,Astoria,Tea,Earl Grey Rg
2023-01-01,Sun,Jan,1,Weekend,03. Evening,15,3,1,1,Astoria,Coffee,Jamaican Coffee River Lg
2023-01-01,Sun,Jan,1,Weekend,03. Evening,6,1,1,1,Hell's Kitchen,Tea,Serenity Green Tea Lg
2023-01-01,Sun,Jan,1,Weekend,03. Evening,21,4,1,1,Astoria,Coffee,Brazilian Lg
2023-01-01,Sun,Jan,1,Weekend,03. Evening,18,3,1,1,Astoria,Drinking Chocolate,Dark chocolate Lg
2023-01-01,Sun,Jan,1,Weekend,03. Evening,22.5,3,1,1,Hell's Kitchen,Coffee,Jamaican Coffee River Lg
2023-01-01,Sun,Jan,1,Weekend,03. Evening,4.4,1,1,1,Lower Manhattan,Coffee,Ethiopia Sm
2023-01-01,Sun,Jan,1,Weekend,03. Evening,6.2,2,1,1,Hell's Kitchen,Coffee,Jamaican Coffee River Rg
2023-01-01,Sun,Jan,1,Weekend,03. Evening,16,2,1,1,Hell's Kitchen,Tea,Morning Sunrise Chai Lg
